fact_id,label_no,value,unit,kind,as_of,source,source_url,investor_use
fund_name,Fondets navn,REQ Evergreen Income Fund,,fact,2026-05-26,Estate Nyheter / REQ LinkedIn,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Hero og forside
status,Status,Lansert mai 2026,,fact,2026-05-26,Estate Nyheter,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Hero — lanseringsdato
structure,Struktur,Evigvarende (evergreen) og ubelånt,,fact,2026-05-26,Estate Nyheter; Finanswatch,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Passform mot pensjon og liv — durasjon uten tvungen exit
return_target_low,Avkastningsmål nedre,6,percent_per_year,target,2026-05-26,Estate Nyheter (sitat om fondet),https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,MÅL — ikke realisert fondsavkastning
return_target_high,Avkastningsmål øvre,8,percent_per_year,target,2026-05-26,Estate Nyheter (sitat om fondet),https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,MÅL — ikke realisert fondsavkastning
thesis_demography,Søyle 1,Eiendom som støtter demografiske endringer,,fact,2026-05-26,Estate Nyheter,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Eldre/omsorg/helse
thesis_location,Søyle 2,Eiendom med strategisk beliggenhet for formålet,,fact,2026-05-26,Estate Nyheter,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Forskning utdanning beredskap dagligvare forsyning
sectors,Målsektorer,Eldre- omsorgs- og helsesektoren; forskning/utdanning; beredskap; dagligvare; forsyningslinjer,,fact,2026-05-26,Estate Nyheter,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Vis som liste — ingen prosentvekter
investor_types,Målgruppe,Pensjonskasser livselskaper stiftelser og andre profesjonelle investorer,,fact,2026-05-26,Estate Nyheter sitat Per Løken,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Siden skrives til denne leseren
pm,Forvalter,Per Sverdrup Løken. 14 år NBIM eiendom sist medansvarlig for globale eiendomsinvesteringer,,fact,2026-05-26,Estate Nyheter; LinkedIn; req-bootcamp context/10-people.md,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Team / track record hos NBIM — ikke fondets track record
ceo_quote,CEO,Med etableringen av REQ Evergreen tar vi et nytt steg og bredder ut investeringsplattformen,,fact,2026-05-26,Johan Hamre til Estate Nyheter,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,Plattform ikke fond
platform_aum,REQ-plattform AUM,5,NOK_billion,fact,2026-05-26,Estate Nyheter: siden 2020 har REQ bygd opp ca. 5 mrd. kr,https://www.estatenyheter.no/karriere-req/req-lanserer-nytt-eiendomsfond-henter-toppforvalter-fra-oljefondet/507530,PLATTFORMEN — ikke Evergreen AUM
office,Kontor,Sommerrogata 17 Oslo; Kungsgatan 8 Stockholm,,fact,2026-07-15,req.no; req-bootcamp context/00-overview.md,https://req.no,Kontakt
other_vehicles,Andre kjøretøy,Fund I vintage 2021 ferdig Q2 2024; Fund II vintage 2024 aktiv. Begge 8 år value-add SFDR art. 8,,fact,2026-09-22,req.no Real Estate,https://req.no/investments-retail-estate/,Ikke Evergreen-portefølje
