period,kpi_index_2025_100,change_pct,kind,source,source_url,notes
2015,72.6,2.1,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,Årsgjennomsnitt. Hentet via SSB API 2026-09-23. change_pct beregnet fra avrundet indeks — kan avvike 0.1 pp fra SSBs publiserte rate
2016,75.2,3.6,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2017,76.6,1.9,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2018,78.7,2.7,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2019,80.4,2.2,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2020,81.5,1.4,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2021,84.3,3.4,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2022,89.2,5.8,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,Høyeste årsvekst 2015–2025
2023,94.1,5.5,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2024,97.1,3.2,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,
2025,100.0,3.0,observed,SSB tabell 14711 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14711,Indeksert fra 2015: +37.7 %
2026M08,103.5,3.3,observed_monthly,SSB tabell 14710 Konsumprisindeks (2025=100),https://www.ssb.no/statbank/table/14710,12-månedersendring august 2025 → august 2026
